"@timestamp","process.args","process.name","process.working_directory","process.executable","file.path","file.type","file.owner","file.size"
"Oct 25, 2022 @ 20:50:35.118","/bin/sh",sh,"/tmp/pe/CVE-2021-3156","/bin/dash","-","-","-","-"
"Oct 25, 2022 @ 20:50:35.118","/bin/bash, ./demo_1_cve.sh","demo_1_cve.sh","/tmp/pe/CVE-2021-3156","/bin/bash","-","-","-","-"
"Oct 25, 2022 @ 20:50:15.118","/bin/bash, ./demo_1_cve.sh","demo_1_cve.sh","/tmp/pe/CVE-2021-3156","/bin/bash","-","-","-","-"
"Oct 25, 2022 @ 20:50:15.118","/bin/sh",sh,"/tmp/pe/CVE-2021-3156","/bin/dash","-","-","-","-"
"Oct 25, 2022 @ 20:50:13.274","-","-","-","-","/tmp/pe",dir,confluence,"-"
"Oct 25, 2022 @ 20:50:13.272","-","-","-","-","/tmp/pe/CVE-2021-3156","-","-","-"
"Oct 25, 2022 @ 20:50:13.270","-","-","-","-","/tmp/pe/CVE-2021-3156/libnss_x","-","-","-"
"Oct 25, 2022 @ 20:50:13.268","-","-","-","-","/tmp/pe/CVE-2021-3156/libnss_x/x.so.2","-","-","-"
"Oct 25, 2022 @ 20:50:13.266","-","-","-","-","/tmp/pe/CVE-2021-3156/shellcode.c","-","-","-"
"Oct 25, 2022 @ 20:50:13.265","-","-","-","-","/tmp/pe/CVE-2021-3156/exploit","-","-","-"
"Oct 25, 2022 @ 20:50:13.263","-","-","-","-","/tmp/pe/CVE-2021-3156/Dockerfile","-","-","-"
"Oct 25, 2022 @ 20:50:13.262","-","-","-","-","/tmp/pe/CVE-2021-3156/Makefile","-","-","-"
"Oct 25, 2022 @ 20:50:13.262","-","-","-","-","/tmp/pe/CVE-2021-3156/README.md","-","-","-"
"Oct 25, 2022 @ 20:50:13.259","-","-","-","-","/tmp/pe/CVE-2021-3156/exploit.c","-","-","-"
