"@timestamp","host.hostname","event.action","event.module","file.owner","file.path","file.size","file.type","process.args"
"Oct 26, 2022 @ 01:36:00.315",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/WEB-INF/classes/com/atlassian/confluence/setup/demo-site.r4ns0mE.r4ns0mE.r4ns0mE","694,480",file,"-"
"Oct 26, 2022 @ 01:36:00.312",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/WEB-INF/classes/com/atlassian/confluence/setup/hsqldb-server.r4ns0mE.r4ns0mE.r4ns0mE",879,file,"-"
"Oct 26, 2022 @ 01:36:00.310",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/WEB-INF/classes/com/atlassian/confluence/setup/atlassian-bundled-plugins.r4ns0mE.r4ns0mE.r4ns0mE","1,144",file,"-"
"Oct 26, 2022 @ 01:36:00.308",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/authenticate.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.305",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/authenticate.r4ns0mE.r4ns0mE","3,415",file,"-"
"Oct 26, 2022 @ 01:36:00.303",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/colourpicker.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.300",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/colourpicker.r4ns0mE.r4ns0mE","3,289",file,"-"
"Oct 26, 2022 @ 01:36:00.298",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/general-breadcrumbs.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.294",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/general-breadcrumbs.r4ns0mE.r4ns0mE",769,file,"-"
"Oct 26, 2022 @ 01:36:00.293",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/general-operations.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.290",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/general-operations.r4ns0mE.r4ns0mE","1,382",file,"-"
"Oct 26, 2022 @ 01:36:00.289",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/xsrf-token-expired.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.286",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/xsrf-token-expired.r4ns0mE.r4ns0mE",927,file,"-"
"Oct 26, 2022 @ 01:36:00.279",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/index.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.277",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/index.r4ns0mE.r4ns0mE",656,file,"-"
"Oct 26, 2022 @ 01:36:00.275",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/errors.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.272",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/errors.r4ns0mE.r4ns0mE","1,753",file,"-"
"Oct 26, 2022 @ 01:36:00.271",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/.compile-less-legacy-suffix.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.268",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/.compile-less-legacy-suffix.r4ns0mE.r4ns0mE",576,file,"-"
"Oct 26, 2022 @ 01:36:00.266",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/breadcrumbs.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.264",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/breadcrumbs.r4ns0mE.r4ns0mE","3,641",file,"-"
"Oct 26, 2022 @ 01:36:00.262",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/forgotuserpassword.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.259",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/forgotuserpassword.r4ns0mE.r4ns0mE","2,781",file,"-"
"Oct 26, 2022 @ 01:36:00.257",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/administrators.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.254",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/administrators.r4ns0mE.r4ns0mE","1,577",file,"-"
"Oct 26, 2022 @ 01:36:00.253",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/notpermitted-personalspace.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.250",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/notpermitted-personalspace.r4ns0mE.r4ns0mE","1,322",file,"-"
"Oct 26, 2022 @ 01:36:00.248",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/noop.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.245",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/noop.r4ns0mE.r4ns0mE",679,file,"-"
"Oct 26, 2022 @ 01:36:00.244",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/licenseexpired.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.241",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/licenseexpired.r4ns0mE.r4ns0mE","1,286",file,"-"
"Oct 26, 2022 @ 01:36:00.235",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/500page.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.233",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/500page.r4ns0mE.r4ns0mE","21,806",file,"-"
"Oct 26, 2022 @ 01:36:00.231",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/blank.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.224",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/blank.r4ns0mE.r4ns0mE",721,file,"-"
"Oct 26, 2022 @ 01:36:00.221",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/langmacro.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.218",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/langmacro.r4ns0mE.r4ns0mE",632,file,"-"
"Oct 26, 2022 @ 01:36:00.217",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/404.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.213",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/404.r4ns0mE.r4ns0mE","1,994",file,"-"
"Oct 26, 2022 @ 01:36:00.211",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/notpermitted.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.209",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/notpermitted.r4ns0mE.r4ns0mE","1,004",file,"-"
"Oct 26, 2022 @ 01:36:00.207",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/favicon.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.204",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/favicon.r4ns0mE.r4ns0mE","4,835",file,"-"
"Oct 26, 2022 @ 01:36:00.202",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/sitesupport.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.199",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/sitesupport.r4ns0mE.r4ns0mE","3,034",file,"-"
"Oct 26, 2022 @ 01:36:00.194",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/sitesupportrequestsubmitted.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.191",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/sitesupportrequestsubmitted.r4ns0mE.r4ns0mE","1,003",file,"-"
"Oct 26, 2022 @ 01:36:00.190",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/resetuserpassword-success.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.187",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/resetuserpassword-success.r4ns0mE.r4ns0mE","1,152",file,"-"
"Oct 26, 2022 @ 01:36:00.186",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/resetuserpassword.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.184",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/resetuserpassword.r4ns0mE.r4ns0mE","2,920",file,"-"
"Oct 26, 2022 @ 01:36:00.182",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/forgotuserpassword-success.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.180",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/forgotuserpassword-success.r4ns0mE.r4ns0mE","2,325",file,"-"
"Oct 26, 2022 @ 01:36:00.179",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/email-confirmation.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.175",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/email-confirmation.r4ns0mE.r4ns0mE","1,217",file,"-"
"Oct 26, 2022 @ 01:36:00.174",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/attachmentnotfound.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:36:00.171",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/attachmentnotfound.r4ns0mE.r4ns0mE","1,134",file,"-"
