,@timestamp,event.original,host.ip,tags,type,filterlog0,filterlog1,filterlog2,filterlog3,filterlog4,filterlog5,filterlog6,filterlog7,filterlog8,filterlog9,filterlog10,filterlog11,filterlog12,filterlog13,filterlog14,filterlog15,filterlog16,filterlog17,filterlog18,filterlog19,filterlog20,filterlog21,filterlog22,filterlog23,filterlog24,filterlog25,filterlog26,filterlog27,filterlog28
102,"Oct 25, 2022 @ 04:29:05.410","<134>Oct 25 11:29:05 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42901,0,DF,6,tcp,40,192.168.170.20,20.197.71.89,49877,443,0,RA,844130103,657139329,0,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:29:05 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42901,0,DF,6,tcp,40,192.168.170.20,20.197.71.89,49877,443,0,RA,844130103,657139329,0,,
104,"Oct 25, 2022 @ 04:28:56.256","<134>Oct 25 11:28:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42900,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42900,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
105,"Oct 25, 2022 @ 04:28:51.095","<134>Oct 25 11:28:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42899,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42899,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
106,"Oct 25, 2022 @ 04:28:49.039","<134>Oct 25 11:28:49 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42898,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:49 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42898,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
107,"Oct 25, 2022 @ 04:28:48.039","<134>Oct 25 11:28:48 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42897,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:48 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42897,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
108,"Oct 25, 2022 @ 04:28:47.039","<134>Oct 25 11:28:47 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42896,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:47 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42896,0,none,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
109,"Oct 25, 2022 @ 04:28:45.039","<134>Oct 25 11:28:45 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42895,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:45 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42895,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
110,"Oct 25, 2022 @ 04:28:45.039","<134>Oct 25 11:28:45 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42894,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:45 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42894,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
111,"Oct 25, 2022 @ 04:28:44.040","<134>Oct 25 11:28:44 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42893,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:28:44 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,42893,0,DF,6,tcp,139,192.168.170.20,20.197.71.89,49877,443,99,PA,844130004:844130103,657139329,63024,,
117,"Oct 25, 2022 @ 04:24:00.340","<134>Oct 25 11:24:00 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38785,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:24:00 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,38785,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,33224,80,0,S,1047526914,,64240,,mss;sackOK;TS;nop;wscale
