"@timestamp","@version","@version.keyword","_id","_index","_score","event.original","event.original.keyword","host.ip","host.ip.keyword",message,"message.keyword",tags,"tags.keyword",type,"type.keyword"
"Oct 25, 2022 @ 05:33:59.986",1,1,PNoiD4QBvD32VbPep2sb,"syslog-2022.10.25","-","<78>Oct 25 12:34:00 /usr/sbin/cron[92028]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:34:00 /usr/sbin/cron[92028]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:34:00 /usr/sbin/cron[92028]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:34:00 /usr/sbin/cron[92028]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:32:59.988",1,1,O9ohD4QBvD32VbPevGu9,"syslog-2022.10.25","-","<78>Oct 25 12:33:00 /usr/sbin/cron[71718]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:33:00 /usr/sbin/cron[71718]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:33:00 /usr/sbin/cron[71718]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:33:00 /usr/sbin/cron[71718]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:32:00.019",1,1,OtogD4QBvD32VbPe0mt7,"syslog-2022.10.25","-","<78>Oct 25 12:32:00 /usr/sbin/cron[52416]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:32:00 /usr/sbin/cron[52416]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:32:00 /usr/sbin/cron[52416]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:32:00 /usr/sbin/cron[52416]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:31:00.020",1,1,OdofD4QBvD32VbPe6Gsd,"syslog-2022.10.25","-","<78>Oct 25 12:31:00 /usr/sbin/cron[31993]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:31:00 /usr/sbin/cron[31993]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:31:00 /usr/sbin/cron[31993]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:31:00 /usr/sbin/cron[31993]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:30:00.018",1,1,"N9oeD4QBvD32VbPe_Wu7","syslog-2022.10.25","-","<78>Oct 25 12:30:00 /usr/sbin/cron[11646]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:30:00 /usr/sbin/cron[11646]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:30:00 /usr/sbin/cron[11646]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:30:00 /usr/sbin/cron[11646]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:30:00.018",1,1,"NtoeD4QBvD32VbPe_Wu7","syslog-2022.10.25","-","<78>Oct 25 12:30:00 /usr/sbin/cron[11797]: (root) CMD (/usr/libexec/atrun)","<78>Oct 25 12:30:00 /usr/sbin/cron[11797]: (root) CMD (/usr/libexec/atrun)","192.168.169.1","192.168.169.1","<78>Oct 25 12:30:00 /usr/sbin/cron[11797]: (root) CMD (/usr/libexec/atrun)","<78>Oct 25 12:30:00 /usr/sbin/cron[11797]: (root) CMD (/usr/libexec/atrun)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:30:00.018",1,1,"ONoeD4QBvD32VbPe_Wu7","syslog-2022.10.25","-","<78>Oct 25 12:30:00 /usr/sbin/cron[11612]: (root) CMD (/usr/bin/nice -n20 /etc/rc.update_urltables)","<78>Oct 25 12:30:00 /usr/sbin/cron[11612]: (root) CMD (/usr/bin/nice -n20 /etc/rc.update_urltables)","192.168.169.1","192.168.169.1","<78>Oct 25 12:30:00 /usr/sbin/cron[11612]: (root) CMD (/usr/bin/nice -n20 /etc/rc.update_urltables)","<78>Oct 25 12:30:00 /usr/sbin/cron[11612]: (root) CMD (/usr/bin/nice -n20 /etc/rc.update_urltables)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:28:59.993",1,1,NdoeD4QBvD32VbPeE2tB,"syslog-2022.10.25","-","<78>Oct 25 12:29:00 /usr/sbin/cron[92598]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:29:00 /usr/sbin/cron[92598]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:29:00 /usr/sbin/cron[92598]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:29:00 /usr/sbin/cron[92598]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:28:00.054",1,1,NNodD4QBvD32VbPeKWsg,"syslog-2022.10.25","-","<78>Oct 25 12:28:00 /usr/sbin/cron[72126]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:28:00 /usr/sbin/cron[72126]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:28:00 /usr/sbin/cron[72126]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:28:00 /usr/sbin/cron[72126]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
"Oct 25, 2022 @ 05:27:00.056",1,1,M9ocD4QBvD32VbPePmvB,"syslog-2022.10.25","-","<78>Oct 25 12:27:00 /usr/sbin/cron[51700]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:27:00 /usr/sbin/cron[51700]: (root) CMD (/usr/sbin/newsyslog)","192.168.169.1","192.168.169.1","<78>Oct 25 12:27:00 /usr/sbin/cron[51700]: (root) CMD (/usr/sbin/newsyslog)","<78>Oct 25 12:27:00 /usr/sbin/cron[51700]: (root) CMD (/usr/sbin/newsyslog)",syslog,syslog,syslog,syslog
