,@timestamp,event.original,event.outcome,http.request.method,http.request.referrer,http.response.body.bytes,http.response.status_code,http.version,input.type,log.file.path,log.offset,service.type,source.address,source.ip,url.extension,url.original,url.path,user.name,user_agent.device.name,user_agent.name,user_agent.original,user_agent.os.full,user_agent.os.name,user_agent.os.version,user_agent.version
0,"Oct 25, 2022 @ 04:26:22.000","192.168.170.20 - employee [25/Oct/2022:11:26:22 +0000] ""GET /employee/downloads/backup.exe HTTP/1.1"" 200 7230669 ""-"" ""curl/7.55.1""",success,GET,-,6.9MB,200,1.1,log,/usr/local/apache2/logs/access.log,"2,893",apache,192.168.170.20,192.168.170.20,exe,/employee/downloads/backup.exe,/employee/downloads/backup.exe,employee,Other,curl,curl/7.55.1,-,-,-,7.55.1
1,"Oct 25, 2022 @ 04:24:53.000","192.168.170.20 - employee [25/Oct/2022:11:24:53 +0000] ""GET /employee/downloads/backup.exe HTTP/1.1"" 200 26624 ""-"" ""curl/7.55.1""",success,GET,-,26KB,200,1.1,log,/usr/local/apache2/logs/access.log,"2,764",apache,192.168.170.20,192.168.170.20,exe,/employee/downloads/backup.exe,/employee/downloads/backup.exe,employee,Other,curl,curl/7.55.1,-,-,-,7.55.1
2,"Oct 25, 2022 @ 04:24:07.000","192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.40.134:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""",failure,GET,http://192.168.40.134:8080/,196B,404,1.1,log,/usr/local/apache2/logs/access.log,"2,538",apache,192.168.40.1,192.168.40.1,ico,/favicon.ico,/favicon.ico,-,Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",Windows 10,Windows,10,106.0.0.0
3,"Oct 25, 2022 @ 04:24:07.000","192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET / HTTP/1.1"" 200 4009 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""",success,GET,-,3.9KB,200,1.1,log,/usr/local/apache2/logs/access.log,"2,094",apache,192.168.40.1,192.168.40.1,-,/,/,-,Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",Windows 10,Windows,10,106.0.0.0
4,"Oct 25, 2022 @ 04:24:07.000","192.168.40.1 - - [25/Oct/2022:11:24:07 +0000] ""GET /undraw_Business_decisions_re_84ag.png HTTP/1.1"" 200 27793 ""http://192.168.40.134:8080/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36""",success,GET,http://192.168.40.134:8080/,27.1KB,200,1.1,log,/usr/local/apache2/logs/access.log,"2,284",apache,192.168.40.1,192.168.40.1,png,/undraw_Business_decisions_re_84ag.png,/undraw_Business_decisions_re_84ag.png,-,Other,Chrome,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",Windows 10,Windows,10,106.0.0.0
5,"Oct 25, 2022 @ 04:23:53.000","192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET /undraw_Business_decisions_re_84ag.png HTTP/1.1"" 200 27793 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",success,GET,http://192.168.169.100/,27.1KB,200,1.1,log,/usr/local/apache2/logs/access.log,"1,678",apache,192.168.170.110,192.168.170.110,png,/undraw_Business_decisions_re_84ag.png,/undraw_Business_decisions_re_84ag.png,-,Other,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0,Windows 10,Windows,10,106.0.
6,"Oct 25, 2022 @ 04:23:53.000","192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",failure,GET,http://192.168.169.100/,196B,404,1.1,log,/usr/local/apache2/logs/access.log,"1,900",apache,192.168.170.110,192.168.170.110,ico,/favicon.ico,/favicon.ico,-,Other,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0,Windows 10,Windows,10,106.0.
7,"Oct 25, 2022 @ 04:23:53.000","192.168.170.110 - - [25/Oct/2022:11:23:53 +0000] ""GET / HTTP/1.1"" 200 4009 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",success,GET,-,3.9KB,200,1.1,log,/usr/local/apache2/logs/access.log,"1,516",apache,192.168.170.110,192.168.170.110,-,/,/,-,Other,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0,Windows 10,Windows,10,106.0.
8,"Oct 25, 2022 @ 04:23:52.000","192.168.170.110 - - [25/Oct/2022:11:23:52 +0000] ""GET /favicon.ico HTTP/1.1"" 404 196 ""http://192.168.169.100/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",failure,GET,http://192.168.169.100/,196B,404,1.1,log,/usr/local/apache2/logs/access.log,"1,322",apache,192.168.170.110,192.168.170.110,ico,/favicon.ico,/favicon.ico,-,Other,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0,Windows 10,Windows,10,106.0.
9,"Oct 25, 2022 @ 04:23:52.000","192.168.170.110 - - [25/Oct/2022:11:23:52 +0000] ""GET / HTTP/1.1"" 200 4009 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0""",success,GET,-,3.9KB,200,1.1,log,/usr/local/apache2/logs/access.log,938,apache,192.168.170.110,192.168.170.110,-,/,/,-,Other,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:106.0) Gecko/20100101 Firefox/106.0,Windows 10,Windows,10,106.0.
