"@timestamp","event.type","event.module","event.action","file.path","file.owner","file.type","file.size"
"Oct 24, 2022 @ 17:07:08.800",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"226,686"
"Oct 24, 2022 @ 17:07:08.577",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 17:07:08.325",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"226,596"
"Oct 24, 2022 @ 17:07:08.109",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,406,400"
"Oct 24, 2022 @ 17:07:07.942",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"224,466"
"Oct 24, 2022 @ 17:07:07.780",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,341,440"
"Oct 24, 2022 @ 17:07:07.669",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"222,756"
"Oct 24, 2022 @ 17:07:07.569",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,187,840"
"Oct 24, 2022 @ 17:07:07.425",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"222,276"
"Oct 24, 2022 @ 17:07:07.139",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"768,000"
"Oct 24, 2022 @ 17:07:06.763",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"219,816"
"Oct 24, 2022 @ 17:07:06.651",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"184,320"
"Oct 24, 2022 @ 17:07:06.530",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"219,186"
"Oct 24, 2022 @ 17:07:06.229",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 17:06:02.375",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"219,156"
"Oct 24, 2022 @ 17:06:02.191",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 17:06:02.014",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"216,996"
"Oct 24, 2022 @ 17:06:01.842",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"624,640"
"Oct 24, 2022 @ 17:06:01.731",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"211,836"
"Oct 24, 2022 @ 17:05:04.825",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 17:05:04.747",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"211,626"
"Oct 24, 2022 @ 17:05:04.647",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,560,000"
"Oct 24, 2022 @ 17:05:04.514",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"211,596"
"Oct 24, 2022 @ 17:05:04.369",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,263,040"
"Oct 24, 2022 @ 17:05:04.291",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"209,136"
"Oct 24, 2022 @ 17:05:04.202",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,208,320"
