"@timestamp","log.offset","log.file.path",message
"Oct 24, 2022 @ 00:50:22.795","359,540","/var/log/dpkg.log","2022-10-23 16:49:17 startup archives install"
"Oct 24, 2022 @ 00:50:22.795","359,585","/var/log/dpkg.log","2022-10-23 16:49:19 install packetbeat:amd64 <none> 8.3.3"
"Oct 24, 2022 @ 00:50:22.794","354,524","/var/log/dpkg.log","2022-10-23 16:48:12 install cpio:amd64 <none> 2.12+dfsg-6ubuntu0.18.04.4"
"Oct 24, 2022 @ 00:50:22.794","354,825","/var/log/dpkg.log","2022-10-23 16:48:14 install ssl-cert:all <none> 1.0.39"
"Oct 24, 2022 @ 00:50:22.794","355,054","/var/log/dpkg.log","2022-10-23 16:48:16 install postfix:amd64 <none> 3.3.0-1ubuntu0.4"
"Oct 24, 2022 @ 00:50:22.794","357,960","/var/log/dpkg.log","2022-10-23 16:48:52 install s-nail:amd64 <none> 14.9.6-3"
"Oct 24, 2022 @ 00:50:22.794","358,587","/var/log/dpkg.log","2022-10-23 16:49:12 install libpcap0.8:amd64 <none> 1.8.1-6ubuntu1.18.04.2"
"Oct 24, 2022 @ 00:50:22.793","353,384","/var/log/dpkg.log","2022-10-23 16:47:40 startup archives install"
"Oct 24, 2022 @ 00:50:22.793","353,429","/var/log/dpkg.log","2022-10-23 16:47:40 install auditbeat:amd64 <none> 8.3.3"
"Oct 24, 2022 @ 00:50:22.792","347,363","/var/log/dpkg.log","2022-10-23 16:44:06 install rsync:amd64 <none> 3.1.2-2.1ubuntu1.5"
"Oct 24, 2022 @ 00:50:22.792","348,425","/var/log/dpkg.log","2022-10-23 16:46:55 startup archives install"
"Oct 24, 2022 @ 00:50:22.792","348,470","/var/log/dpkg.log","2022-10-23 16:46:56 install filebeat:amd64 <none> 8.3.3"
"Oct 24, 2022 @ 00:50:22.790","334,477","/var/log/dpkg.log","2022-10-23 16:42:45 install libpython3.6-dev:amd64 <none> 3.6.9-1~18.04ubuntu1.8"
"Oct 24, 2022 @ 00:50:22.790","334,810","/var/log/dpkg.log","2022-10-23 16:42:51 install libpython3-dev:amd64 <none> 3.6.7-1~18.04"
"Oct 24, 2022 @ 00:50:22.790","335,099","/var/log/dpkg.log","2022-10-23 16:42:52 install python-pip-whl:all <none> 9.0.1-2.3~ubuntu1.18.04.5"
"Oct 24, 2022 @ 00:50:22.790","335,428","/var/log/dpkg.log","2022-10-23 16:42:55 install python3-asn1crypto:all <none> 0.24.0-1"
"Oct 24, 2022 @ 00:50:22.790","335,705","/var/log/dpkg.log","2022-10-23 16:42:58 install python3-cffi-backend:amd64 <none> 1.11.5-1"
"Oct 24, 2022 @ 00:50:22.790","335,998","/var/log/dpkg.log","2022-10-23 16:43:00 install python3-crypto:amd64 <none> 2.6.1-8ubuntu2"
"Oct 24, 2022 @ 00:50:22.790","336,291","/var/log/dpkg.log","2022-10-23 16:43:02 install python3-cryptography:amd64 <none> 2.1.4-1ubuntu1.4"
"Oct 24, 2022 @ 00:50:22.790","336,616","/var/log/dpkg.log","2022-10-23 16:43:04 install python3.6-dev:amd64 <none> 3.6.9-1~18.04ubuntu1.8"
"Oct 24, 2022 @ 00:50:22.790","336,937","/var/log/dpkg.log","2022-10-23 16:43:05 install python3-dev:amd64 <none> 3.6.7-1~18.04"
"Oct 24, 2022 @ 00:50:22.790","337,214","/var/log/dpkg.log","2022-10-23 16:43:07 install python3-secretstorage:all <none> 2.3.1-2"
"Oct 24, 2022 @ 00:50:22.790","337,499","/var/log/dpkg.log","2022-10-23 16:43:08 install python3-keyring:all <none> 10.6.0-1"
"Oct 24, 2022 @ 00:50:22.790","337,764","/var/log/dpkg.log","2022-10-23 16:43:10 install python3-keyrings.alt:all <none> 3.0-1"
"Oct 24, 2022 @ 00:50:22.790","338,037","/var/log/dpkg.log","2022-10-23 16:43:13 install python3-pip:all <none> 9.0.1-2.3~ubuntu1.18.04.5"
"Oct 24, 2022 @ 00:50:22.790","338,354","/var/log/dpkg.log","2022-10-23 16:43:15 install python3-setuptools:all <none> 39.0.1-2"
"Oct 24, 2022 @ 00:50:22.790","338,631","/var/log/dpkg.log","2022-10-23 16:43:17 install python3-wheel:all <none> 0.30.0-0.2"
"Oct 24, 2022 @ 00:50:22.790","338,896","/var/log/dpkg.log","2022-10-23 16:43:19 install python3-xdg:all <none> 0.25-4ubuntu1.1"
"Oct 24, 2022 @ 00:50:22.789","328,356","/var/log/dpkg.log","2022-10-23 16:38:23 install git-man:all <none> 1:2.17.1-1ubuntu0.13"
"Oct 24, 2022 @ 00:50:22.789","328,637","/var/log/dpkg.log","2022-10-23 16:38:25 install git:amd64 <none> 1:2.17.1-1ubuntu0.13"
"Oct 24, 2022 @ 00:50:22.789","332,933","/var/log/dpkg.log","2022-10-23 16:42:35 install python3-lib2to3:all <none> 3.6.9-1~18.04"
"Oct 24, 2022 @ 00:50:22.789","333,218","/var/log/dpkg.log","2022-10-23 16:42:36 install python3-distutils:all <none> 3.6.9-1~18.04"
"Oct 24, 2022 @ 00:50:22.789","333,511","/var/log/dpkg.log","2022-10-23 16:42:38 install dh-python:all <none> 3.20180325ubuntu2"
"Oct 24, 2022 @ 00:50:22.789","333,788","/var/log/dpkg.log","2022-10-23 16:42:40 install libexpat1-dev:amd64 <none> 2.2.5-3ubuntu0.7"
"Oct 24, 2022 @ 00:50:22.789","334,085","/var/log/dpkg.log","2022-10-23 16:42:43 install libpython3.6:amd64 <none> 3.6.9-1~18.04ubuntu1.8"
"Oct 24, 2022 @ 00:50:22.788","326,569","/var/log/dpkg.log","2022-10-23 16:37:51 install apt-utils:amd64 <none> 1.6.14"
"Oct 24, 2022 @ 00:50:22.788","327,146","/var/log/dpkg.log","2022-10-23 16:37:57 install sshpass:amd64 <none> 1.06-1"
"Oct 24, 2022 @ 00:50:22.788","327,707","/var/log/dpkg.log","2022-10-23 16:38:21 install libcurl3-gnutls:amd64 <none> 7.58.0-2ubuntu3.20"
"Oct 24, 2022 @ 00:50:22.788","328,095","/var/log/dpkg.log","2022-10-23 16:38:22 install liberror-perl:all <none> 0.17025-1"
"Oct 24, 2022 @ 00:50:22.787","322,109","/var/log/dpkg.log","2022-10-23 16:37:21 install nano:amd64 <none> 2.9.3-2"
"Oct 24, 2022 @ 00:50:22.787","322,709","/var/log/dpkg.log","2022-10-23 16:37:31 install libelf1:amd64 <none> 0.170-0.4ubuntu0.1"
"Oct 24, 2022 @ 00:50:22.787","323,065","/var/log/dpkg.log","2022-10-23 16:37:32 install libmnl0:amd64 <none> 1.0.4-2"
"Oct 24, 2022 @ 00:50:22.787","323,302","/var/log/dpkg.log","2022-10-23 16:37:34 install iproute2:amd64 <none> 4.15.0-2ubuntu1.3"
"Oct 24, 2022 @ 00:50:22.787","323,583","/var/log/dpkg.log","2022-10-23 16:37:37 install libatm1:amd64 <none> 1:2.5.1-2build1"
"Oct 24, 2022 @ 00:50:22.787","323,852","/var/log/dpkg.log","2022-10-23 16:37:38 install libxtables12:amd64 <none> 1.6.1-2ubuntu2"
"Oct 24, 2022 @ 00:50:22.786","320,395","/var/log/dpkg.log","2022-10-23 16:37:04 install less:amd64 <none> 487-0.1"
"Oct 24, 2022 @ 00:50:22.786","321,216","/var/log/dpkg.log","2022-10-23 16:37:13 install unzip:amd64 <none> 6.0-21ubuntu1.2"
"Oct 24, 2022 @ 00:50:22.785","315,080","/var/log/dpkg.log","2022-10-23 16:36:44 install python-apt-common:all <none> 1.6.5ubuntu0.7"
"Oct 24, 2022 @ 00:50:22.785","315,377","/var/log/dpkg.log","2022-10-23 16:36:45 install python3-apt:amd64 <none> 1.6.5ubuntu0.7"
"Oct 24, 2022 @ 00:50:22.785","315,658","/var/log/dpkg.log","2022-10-23 16:36:47 install python3-software-properties:all <none> 0.96.24.32.18"
"Oct 24, 2022 @ 00:50:22.785","315,991","/var/log/dpkg.log","2022-10-23 16:36:48 install software-properties-common:all <none> 0.96.24.32.18"
"Oct 24, 2022 @ 00:50:22.785","316,466","/var/log/dpkg.log","2022-10-23 16:36:50 install unattended-upgrades:all <none> 1.1ubuntu1.18.04.14"
"Oct 24, 2022 @ 00:50:22.784","311,644","/var/log/dpkg.log","2022-10-23 16:36:09 install net-tools:amd64 <none> 1.60+git20161116.90da8a0-1ubuntu1"
"Oct 24, 2022 @ 00:50:22.784","312,437","/var/log/dpkg.log","2022-10-23 16:36:15 install iputils-ping:amd64 <none> 3:20161105-1ubuntu3"
"Oct 24, 2022 @ 00:50:22.784","312,742","/var/log/dpkg.log","2022-10-23 16:36:16 install libcap2-bin:amd64 <none> 1:2.25-1.2"
"Oct 24, 2022 @ 00:50:22.784","313,007","/var/log/dpkg.log","2022-10-23 16:36:19 install libpam-cap:amd64 <none> 1:2.25-1.2"
