"@timestamp","log.file.path",message
"Oct 24, 2022 @ 17:02:39.320","/root/.bash_history","cd /home/resch/.scripts"
"Oct 24, 2022 @ 17:02:39.320","/root/.bash_history","./attack_chain.sh"
"Oct 24, 2022 @ 17:02:39.320","/root/.bash_history",ls
"Oct 24, 2022 @ 17:02:39.320","/root/.bash_history",exit
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history","service auditbeat restart"
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history","service auditbeat status"
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history","auditbeat setup -e"
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history","service auditbeat stop"
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history","service auditbeat start"
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history","auditbeat setup -e"
"Oct 24, 2022 @ 16:33:10.768","/root/.bash_history",exit
"Oct 24, 2022 @ 16:33:10.731","/root/.bash_history","nano /etc/auditbeat/auditbeat.yml"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","./attack_chain.sh"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","ls -la"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","tail fndd.lock64 "
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","crontab -l"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","ls /root/Maildir"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","ls /root/Maildir/tmp"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","ls /root/Maildir/new"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","ls /root/Maildir/cur"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history",clear
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","find / -name *.lock64"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","cd ../../"
"Oct 24, 2022 @ 12:43:06.499","/root/.bash_history","find / -name *.lock64"
"Oct 24, 2022 @ 12:43:06.498","/root/.bash_history",whoami
"Oct 24, 2022 @ 12:43:06.498","/root/.bash_history",pwd
"Oct 24, 2022 @ 12:43:06.498","/root/.bash_history","cd /home/resch/.scripts"
"Oct 24, 2022 @ 12:43:06.498","/root/.bash_history","ls -la"
"Oct 24, 2022 @ 11:35:30.331","/root/.bash_history","cat /etc/crontab"
"Oct 24, 2022 @ 11:35:30.331","/root/.bash_history",exit
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history","cd ../"
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history","python3 encrypt.py"
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history","ls /root"
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history","ls -la /root"
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history",ls
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history","python3 encrypt.py fndd-stripped.txt"
"Oct 24, 2022 @ 02:18:58.516","/root/.bash_history",exit
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","ls 3204ResearchMaterials/"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","cd 3204ResearchMaterials/"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","cat 3204_security_analytics.txt "
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","find / -name *.lock64"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","cat /root/redis/redis-4.0.0/deps/lua/doc/cover.lock64"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","cd ../"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","cd /home/resch/.scripts"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history",ls
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history","nano encrypt.py"
"Oct 24, 2022 @ 02:09:48.421","/root/.bash_history",exit
"Oct 24, 2022 @ 02:09:48.420","/root/.bash_history",ls
"Oct 24, 2022 @ 02:09:48.420","/root/.bash_history","cd ../"
"Oct 24, 2022 @ 02:09:48.420","/root/.bash_history","cd /var/research"
"Oct 24, 2022 @ 02:09:48.420","/root/.bash_history",ls
"Oct 24, 2022 @ 02:09:48.420","/root/.bash_history","cat research1.pdf"
"Oct 24, 2022 @ 01:47:38.138","/root/.bash_history","cat /etc/crontab"
"Oct 24, 2022 @ 01:47:38.138","/root/.bash_history","nano /etc/crontab"
"Oct 24, 2022 @ 01:47:38.138","/root/.bash_history",ls
"Oct 24, 2022 @ 01:47:38.138","/root/.bash_history",exit
"Oct 24, 2022 @ 01:47:38.137","/root/.bash_history","nano /etc/crontab"
"Oct 24, 2022 @ 01:37:07.975","/root/.bash_history","cd .scripts"
"Oct 24, 2022 @ 01:37:07.975","/root/.bash_history",ls
"Oct 24, 2022 @ 01:37:07.975","/root/.bash_history",exit
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history","cd /home/resch/.scripts"
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history",ls
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history","./attack_chain.sh"
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history",ls
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history","rm -r CVE-2021-3156/"
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history",ls
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history","cd ../"
"Oct 24, 2022 @ 01:37:07.974","/root/.bash_history",ls
