"@timestamp","source.ip","source.port","destination.ip","destination.port","bytes_out","bytes_in","network.transport","network.packets"
"Oct 24, 2022 @ 11:48:09.999","172.17.0.3",53056,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:09.999","172.17.0.3",36410,"151.101.192.223",443,"142.8KB","7.9KB",tcp,202
"Oct 24, 2022 @ 11:48:09.999","172.17.0.3",45048,"199.232.45.63",443,1MB,"18.8KB",tcp,"1,009"
"Oct 24, 2022 @ 11:48:09.999","172.17.0.3",53062,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:09.999","172.17.0.3",53064,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:09.999","172.17.0.3",53066,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:00.001","172.17.0.3",53056,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:00.001","172.17.0.3",36410,"151.101.192.223",443,"142.8KB","7.9KB",tcp,202
"Oct 24, 2022 @ 11:48:00.001","172.17.0.3",45048,"199.232.45.63",443,1MB,"18.8KB",tcp,"1,009"
"Oct 24, 2022 @ 11:48:00.001","172.17.0.3",53062,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:00.001","172.17.0.3",53064,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:48:00.001","172.17.0.3",53066,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:50.000","172.17.0.3",53056,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:50.000","172.17.0.3",36410,"151.101.192.223",443,"142.8KB","7.9KB",tcp,202
"Oct 24, 2022 @ 11:47:50.000","172.17.0.3",45048,"199.232.45.63",443,1MB,"18.8KB",tcp,"1,009"
"Oct 24, 2022 @ 11:47:50.000","172.17.0.3",53062,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:50.000","172.17.0.3",53064,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:50.000","172.17.0.3",53066,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:40.001","172.17.0.3",53056,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:40.001","172.17.0.3",36410,"151.101.192.223",443,"142.8KB","7.9KB",tcp,202
"Oct 24, 2022 @ 11:47:40.001","172.17.0.3",45048,"199.232.45.63",443,1MB,"18.8KB",tcp,"1,009"
"Oct 24, 2022 @ 11:47:40.001","172.17.0.3",53062,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:40.001","172.17.0.3",53064,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:47:40.001","172.17.0.3",53066,"199.232.44.223",443,"4.8KB","1.7KB",tcp,19
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50480,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50482,"185.199.109.133",443,"5.7KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50484,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50486,"185.199.109.133",443,"8.5KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50488,"185.199.109.133",443,"8.7KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50490,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50492,"185.199.109.133",443,"6.5KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50494,"185.199.109.133",443,"5.6KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50496,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50498,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50500,"185.199.109.133",443,"5.3KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:40.003","172.17.0.3",50502,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50480,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50482,"185.199.109.133",443,"5.7KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50484,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50486,"185.199.109.133",443,"8.5KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50488,"185.199.109.133",443,"8.7KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50490,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50492,"185.199.109.133",443,"6.5KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50494,"185.199.109.133",443,"5.6KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50496,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50498,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50500,"185.199.109.133",443,"5.3KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:30.003","172.17.0.3",50502,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50480,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50482,"185.199.109.133",443,"5.7KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50484,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50486,"185.199.109.133",443,"8.5KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50488,"185.199.109.133",443,"8.7KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50490,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50492,"185.199.109.133",443,"6.5KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50494,"185.199.109.133",443,"5.6KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50496,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50498,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50500,"185.199.109.133",443,"5.3KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:20.003","172.17.0.3",50502,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50474,"185.199.109.133",443,"6.7KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50480,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50482,"185.199.109.133",443,"5.7KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50484,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50486,"185.199.109.133",443,"8.5KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50488,"185.199.109.133",443,"8.7KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50490,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50492,"185.199.109.133",443,"6.5KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50494,"185.199.109.133",443,"5.6KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50496,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50498,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50500,"185.199.109.133",443,"5.3KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:10.003","172.17.0.3",50502,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50474,"185.199.109.133",443,"6.7KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50480,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50482,"185.199.109.133",443,"5.7KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50484,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50486,"185.199.109.133",443,"8.5KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50488,"185.199.109.133",443,"8.7KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50490,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50492,"185.199.109.133",443,"6.5KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50494,"185.199.109.133",443,"5.6KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50496,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50498,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50500,"185.199.109.133",443,"5.3KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:46:00.002","172.17.0.3",50502,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50474,"185.199.109.133",443,"6.7KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50480,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50482,"185.199.109.133",443,"5.7KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50484,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50486,"185.199.109.133",443,"8.5KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50488,"185.199.109.133",443,"8.7KB","1.4KB",tcp,27
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50490,"185.199.109.133",443,"5.8KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50492,"185.199.109.133",443,"6.5KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50494,"185.199.109.133",443,"5.6KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50496,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50498,"185.199.109.133",443,"6.2KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50500,"185.199.109.133",443,"5.3KB","1.3KB",tcp,23
"Oct 24, 2022 @ 11:45:50.001","172.17.0.3",50502,"185.199.109.133",443,8KB,"1.4KB",tcp,27
"Oct 24, 2022 @ 11:45:40.003","172.17.0.3",50474,"185.199.109.133",443,"6.7KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:45:30.002","172.17.0.3",50474,"185.199.109.133",443,"6.7KB","1.3KB",tcp,25
"Oct 24, 2022 @ 11:30:51.799","172.18.0.3",48001,"172.18.0.2",80,56B,60B,tcp,2
"Oct 24, 2022 @ 11:30:51.799","172.18.0.3",48001,"172.18.0.2",443,56B,60B,tcp,2
