"@timestamp","file.type","file.path","event.type","file.mode","file.owner","file.extension"
"Oct 25, 2022 @ 00:30:27.559",file,"/home/resch/destination/random-word-doc-1.docx",creation,0644,resch,docx
"Oct 25, 2022 @ 00:30:21.360",file,"/home/resch/destination/x.so.2",creation,0755,resch,2
"Oct 25, 2022 @ 00:30:05.626",file,"/home/resch/destination/research1.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:56.842",file,"/home/resch/destination/3204ResearchMaterials/random-word-doc-1.docx",creation,0644,resch,docx
"Oct 25, 2022 @ 00:29:56.775",file,"/home/resch/destination/3204ResearchMaterials/gudetama-1.png",creation,0644,resch,png
"Oct 25, 2022 @ 00:29:56.616",file,"/home/resch/destination/3204ResearchMaterials/crying-cat-in-shower.jpg",creation,0644,resch,jpg
"Oct 25, 2022 @ 00:29:56.507",file,"/home/resch/destination/3204ResearchMaterials/SIT_logo_2.png",creation,0644,resch,png
"Oct 25, 2022 @ 00:29:56.089",file,"/home/resch/destination/3204ResearchMaterials/Details-of-Deliverable-1_ICT3203.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:56.024",file,"/home/resch/destination/3204ResearchMaterials/witches.jpeg",creation,0644,resch,jpeg
"Oct 25, 2022 @ 00:29:55.973",file,"/home/resch/destination/3204ResearchMaterials/excel-sample-1.xlsx",creation,0644,resch,xlsx
"Oct 25, 2022 @ 00:29:55.843",file,"/home/resch/destination/3204ResearchMaterials/birdfood.PNG",creation,0644,resch,PNG
"Oct 25, 2022 @ 00:29:55.776",file,"/home/resch/destination/3204ResearchMaterials/[FORM] Code of Conduct ICT Legal 2019.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:55.720",file,"/home/resch/destination/3204ResearchMaterials/3204lab-test-results-1.xlsx",creation,0644,resch,xlsx
"Oct 25, 2022 @ 00:29:55.653",file,"/home/resch/destination/3204ResearchMaterials/3204_security_analytics.txt",creation,0644,resch,txt
"Oct 25, 2022 @ 00:29:55.569",file,"/home/resch/destination/3204ResearchMaterials/kill-me-now.doc",creation,0644,resch,doc
"Oct 25, 2022 @ 00:29:39.626",file,"/home/resch/destination/research2.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:29:32.104",file,"/home/resch/destination/.scripts/persistence1.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:31.881",file,"/home/resch/destination/.scripts/file_and_dir_discovery-stripped.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:31.814",file,"/home/resch/destination/.scripts/attack_chain.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:31.747",file,"/home/resch/destination/.scripts/PEexploit.sh",creation,0755,resch,sh
"Oct 25, 2022 @ 00:29:31.613",file,"/home/resch/destination/.scripts/requirements.txt",creation,0644,resch,txt
"Oct 25, 2022 @ 00:29:31.545",file,"/home/resch/destination/.scripts/encrypt.py",creation,0755,resch,py
"Oct 25, 2022 @ 00:29:31.363",file,"/home/resch/destination/.scripts/CVE-2021-3156/libnss_x/x.so.2",creation,0755,resch,2
"Oct 25, 2022 @ 00:29:31.126",file,"/home/resch/destination/.scripts/CVE-2021-3156/exploit.c",creation,0644,resch,c
"Oct 25, 2022 @ 00:29:30.996",file,"/home/resch/destination/.scripts/CVE-2021-3156/exploit",creation,0755,resch,"-"
"Oct 25, 2022 @ 00:29:30.810",file,"/home/resch/destination/.scripts/CVE-2021-3156/README.md",creation,0644,resch,md
"Oct 25, 2022 @ 00:29:30.633",file,"/home/resch/destination/.scripts/CVE-2021-3156/Makefile",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:30.547",file,"/home/resch/destination/.scripts/CVE-2021-3156/Dockerfile",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:30.484",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/logs/refs/remotes/origin/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:30.165",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/logs/refs/heads/main",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:29.901",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/logs/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:29.748",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/index",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:29.681",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/description",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:29:29.625",file,"/home/resch/destination/.scripts/CVE-2021-3156/.git/packed-refs",creation,0644,resch,"-"
