"@timestamp",message,"process.name","user.effective.name","system.auth.sudo.user","system.auth.sudo.error","system.auth.sudo.command"
"Oct 25, 2022 @ 01:00:05.000","Successful su for root by root",su,"-","-","-","-"
"Oct 25, 2022 @ 01:00:05.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 25, 2022 @ 01:00:05.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 25, 2022 @ 01:00:05.000","pam_unix(su:session): session opened for user root by (uid=0)",su,root,"-","-","-"
"Oct 25, 2022 @ 01:00:05.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 25, 2022 @ 00:25:53.000","Disconnected from user resch 172.18.0.3 port 46538",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:25:53.000","Received disconnect from 172.18.0.3 port 46538:11: disconnected by user",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:25:49.000","pam_unix(su:session): session closed for user root",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","Successful su for root by root",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","+ /dev/pts/0 root:root",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","pam_limits(su:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",su,"-","-","-","-"
"Oct 25, 2022 @ 00:07:47.000","pam_unix(su:session): session opened for user root by resch(uid=0)",su,root,"-","-","-"
"Oct 25, 2022 @ 00:07:47.000","pam_systemd(su:session): Failed to connect to system bus: No such file or directory",su,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Connection closed by 172.18.0.3 port 46460 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Unable to negotiate with 172.18.0.3 port 46462: no matching host key type found. Their offer: ecdsa-sha2-nistp384 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Unable to negotiate with 172.18.0.3 port 46464: no matching host key type found. Their offer: ecdsa-sha2-nistp521 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:57.000","Connection closed by 172.18.0.3 port 46466 [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Protocol major versions differ for 172.18.0.3 port 46450: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-NmapNSE_1.0",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Protocol major versions differ for 172.18.0.3 port 46454: SSH-2.0-OpenSSH_7.6p1 Ubuntu-4ubuntu0.6 vs. SSH-1.5-Nmap-SSH1-Hostkey",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Unable to negotiate with 172.18.0.3 port 46456: no matching host key type found. Their offer: ssh-dss [preauth]",sshd,"-","-","-","-"
"Oct 25, 2022 @ 00:00:56.000","Connection closed by 172.18.0.3 port 46458 [preauth]",sshd,"-","-","-","-"
"Oct 24, 2022 @ 23:48:06.000","pam_unix(sudo:session): session closed for user root",sudo,"-","-","-","-"
"Oct 24, 2022 @ 23:46:16.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:50.000","pam_unix(runuser:session): session closed for user root",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:50.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
"Oct 24, 2022 @ 23:45:50.000","pam_unix(runuser:session): session opened for user root by (uid=0)",runuser,root,"-","-","-"
"Oct 24, 2022 @ 23:45:48.000","pam_limits(runuser:session): Could not set limit for 'core' to soft=0, hard=-1: Operation not permitted; uid=0,euid=0",runuser,"-","-","-","-"
