"@timestamp","file.path","file.owner","file.size","file.type","file.group","file.extension","file.hash.sha1","file.uid"
"Oct 25, 2022 @ 03:18:02.202","/home/resch/destination/Maildir/new/1666638961.VdbI2170cM450159.target",root,775,file,root,target,0ce9625788f23e9db883f2130fb7071e846a1c21,0
"Oct 25, 2022 @ 03:16:01.473","/home/resch/destination/Maildir/new/1666638841.VdbI21704M429130.target",root,775,file,root,target,23d7cae42984549204c08bd4f85ae490a914d113,0
"Oct 25, 2022 @ 03:14:01.486","/home/resch/destination/Maildir/new/1666638722.VdbI1e857M318131.target",root,775,file,root,target,4a2a20516e0066ad4802166e60599b30d9b880c9,0
"Oct 25, 2022 @ 03:12:02.431","/home/resch/destination/Maildir/new/1666638602.VdbI2178cM837821.target",root,775,file,root,target,dfb030260215343772ec80d0bdad3c73578bbb4c,0
"Oct 25, 2022 @ 03:10:02.972","/home/resch/destination/Maildir/new/1666638481.VdbI211dfM906436.target",root,775,file,root,target,5415580a2bb62ed672e71090f9684b5a29d5411b,0
"Oct 25, 2022 @ 03:08:01.969","/home/resch/destination/Maildir/new/1666638362.VdbI1e7e2M27901.target",root,775,file,root,target,bf5db2927f096df10617ba9ed5e29e2442d29304,0
"Oct 25, 2022 @ 03:06:02.096","/home/resch/destination/Maildir/new/1666638242.VdbI1e740M189708.target",root,775,file,root,target,6be638c6a7b6dc7a6e5ee86a46912d2e7861eb96,0
"Oct 25, 2022 @ 03:04:02.269","/home/resch/destination/Maildir/new/1666638121.VdbI1e742M346463.target",root,775,file,root,target,116ba246eb053bad29392a574145d6366f1bfd8a,0
"Oct 25, 2022 @ 03:02:01.507","/home/resch/destination/Maildir/new/1666638001.VdbI21717M676388.target",root,775,file,root,target,3721a6a0a295e06824b479d1cccbc9196c6d7280,0
"Oct 25, 2022 @ 03:00:01.739","/home/resch/destination/Maildir/new/1666637882.VdbI20e76M107921.target",root,775,file,root,target,a59cbb56e677a32c5e30c669a1821f145cdd022a,0
"Oct 25, 2022 @ 02:58:02.260","/home/resch/destination/Maildir/new/1666637762.VdbI1e68dM131447.target",root,775,file,root,target,4605433e108f18a6ed217f9e7de9c45404d235b6,0
"Oct 25, 2022 @ 02:56:02.163","/home/resch/destination/Maildir/new/1666637642.VdbI20f99M272885.target",root,775,file,root,target,5418028f8989de53da8e9d71256d871a36f151b1,0
