@timestamp,error.message,event.module,event.type,file.ctime,file.extension,file.gid,file.owner,file.path,file.size,file.type,host.ip,
"Oct 25, 2022 @ 02:12:01.526",-,file_integrity,creation,"Oct 25, 2022 @ 02:12:01.507",target,0,root,/home/resch/destination/Maildir/new/1666635001.VceIa12bM678166.target,727,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:12:01.525",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666635001.VceIa12bM678166.target.0Y5ZVZ,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:10:01.661",-,file_integrity,creation,"Oct 25, 2022 @ 02:10:01.640",target,0,root,/home/resch/destination/Maildir/new/1666634881.VceIba8dM821370.target,727,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:10:01.660",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666634881.VceIba8dM821370.target.rtZixP,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:08:01.807",-,file_integrity,creation,"Oct 25, 2022 @ 02:08:01.794",target,0,root,/home/resch/destination/Maildir/new/1666634761.VceIcd14M939710.target,727,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:08:01.805",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666634761.VceIcd14M939710.target.iDJ6DI,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:06:01.924",-,file_integrity,creation,"Oct 25, 2022 @ 02:06:01.907",target,0,root,/home/resch/destination/Maildir/new/1666634641.VceIccfbM937856.target,727,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:06:01.923",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666634641.VceIccfbM937856.target.Hzcfry,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:04:01.925",-,file_integrity,creation,"Oct 25, 2022 @ 02:04:01.910",target,0,root,/home/resch/destination/Maildir/new/1666634521.VceIc986M74952.target,727,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:04:01.922",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666634521.VceIc986M74952.target.711uAa,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:02:01.059",-,file_integrity,creation,"Oct 25, 2022 @ 02:02:01.042",target,0,root,/home/resch/destination/Maildir/new/1666634401.VceIccefM208307.target,727,file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:02:01.057",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666634401.VceIccefM208307.target.KVmLQO,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 02:00:01.194",-,file_integrity,change,-,-,-,-,/home/resch/destination/Maildir/new/.1666634282.VceIccf0M25395.target.W8StJE,-,-,"172.17.0.3, 172.18.0.2",
